GRANTEE_SCHEMA_NAME;GRANTEE;GRANTEE_TYPE;GRANTOR;OBJECT_TYPE;SCHEMA_NAME;OBJECT_NAME;COLUMN_NAME;PRIVILEGE;IS_GRANTABLE;IS_VALID
?;DEV_USER_01;USER;SYSTEM;SYSTEMPRIVILEGE;?;?;?;CREATE SCHEMA;FALSE;TRUE
?;DEV_USER_01;USER;SYSTEM;SCHEMA;SALES_DB;?;?;SELECT;FALSE;TRUE
?;FINANCE_ANALYST;USER;SYSTEM;TABLE;FINANCE_DB;ACCOUNT_BALANCES;?;SELECT;FALSE;TRUE
?;FINANCE_ANALYST;USER;SYSTEM;TABLE;HR_DB;EMPLOYEES;SALARY;SELECT;FALSE;TRUE
?;ANALYTICS_ROLE;ROLE;SYSTEM;SCHEMA;FINANCE_DB;?;?;SELECT;TRUE;TRUE
?;ANALYTICS_ROLE;ROLE;SYSTEM;ANALYTICALPRIVILEGE;?;_SYS_BI_CP_ALL;?;EXECUTE;FALSE;TRUE
?;MODELING;ROLE;SYSTEM;REPO;?;.REPO_PACKAGE_ROOT;?;REPO.READ;FALSE;TRUE
?;MODELING;ROLE;SYSTEM;REPO;?;.REPO_PACKAGE_ROOT;?;REPO.EDIT_NATIVE_OBJECTS;FALSE;TRUE
?;DBA_COCKPIT;ROLE;SYSTEM;SYSTEMPRIVILEGE;?;?;?;BACKUP ADMIN;FALSE;TRUE
?;DBA_COCKPIT;ROLE;SYSTEM;SYSTEMPRIVILEGE;?;?;?;CATALOG READ;FALSE;TRUE
?;APP_ADMIN_ROLE;ROLE;_SYS_REPO;APPLICATIONPRIVILEGE;?;?;?;sap.hana.xs.admin::SQLCCAdmin;TRUE;TRUE
?;SAPDBCTRL;USER;SYSTEM;SYSTEMPRIVILEGE;?;?;?;BACKUP OPERATOR;FALSE;TRUE
?;SYSTEM;USER;SYS;SYSTEMPRIVILEGE;?;?;?;USER ADMIN;TRUE;TRUE
?;SYSTEM;USER;SYS;SYSTEMPRIVILEGE;?;?;?;DATA ADMIN;TRUE;TRUE
