    ;GRANTEE_SCHEMA_NAME            ;GRANTEE                                                                           ;GRANTEE_TYPE;GRANTOR                           ;OBJECT_TYPE         ;SCHEMA_NAME                                                                       ;OBJECT_NAME                                                                     ;COLUMN_NAME;PRIVILEGE                                                           ;IS_GRANTABLE;IS_VALID
1   ;?                              ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;WORKLOAD CAPTURE ADMIN                                              ;FALSE       ;TRUE    
2   ;?                              ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;WORKLOAD REPLAY ADMIN                                               ;FALSE       ;TRUE    
3   ;?                              ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CREATE SCENARIO                                                     ;FALSE       ;TRUE    
4   ;?                              ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CREATE STRUCTURED PRIVILEGE                                         ;FALSE       ;TRUE    
5   ;?                              ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;EXPORT                                                              ;FALSE       ;TRUE    
6   ;?                              ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;IMPORT                                                              ;FALSE       ;TRUE    
7   ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.wdisp.admin::WebDispatcherAdmin                         ;TRUE        ;TRUE    
8   ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.wdisp.admin::WebDispatcherMonitor                       ;TRUE        ;TRUE    
9   ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.translationTool::OnlineTranslation                      ;TRUE        ;TRUE    
10  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.selfService.admin::USSAdminView                         ;TRUE        ;TRUE    
11  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.oAuth::oAuthAdministrator                               ;TRUE        ;TRUE    
12  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm.pe::Display                                          ;TRUE        ;TRUE    
13  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm.pe::Execute                                          ;TRUE        ;TRUE    
14  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm.pe::Activate                                         ;TRUE        ;TRUE    
15  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm.hanaCockpit::WidgetAccess:developerCatalog           ;TRUE        ;TRUE    
16  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm.hanaCockpit::WidgetAccess:installationCatalog        ;TRUE        ;TRUE    
17  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::View                                                ;TRUE        ;TRUE    
18  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::Configure                                           ;TRUE        ;TRUE    
19  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::Display                                             ;TRUE        ;TRUE    
20  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::Administrator                                       ;TRUE        ;TRUE    
21  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::ExecuteTransport                                    ;TRUE        ;TRUE    
22  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::Transport                                           ;TRUE        ;TRUE    
23  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::ExportToCTS                                         ;TRUE        ;TRUE    
24  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::Developer                                           ;TRUE        ;TRUE    
25  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::DevelopmentExpert                                   ;TRUE        ;TRUE    
26  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::SLP_CTS_deploy_admin                                ;TRUE        ;TRUE    
27  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::SLP_CTS_ping_admin                                  ;TRUE        ;TRUE    
28  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.lm::SLP_display                                         ;TRUE        ;TRUE    
29  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.ide::LandingPage                                        ;TRUE        ;TRUE    
30  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.ide::Editor                                             ;TRUE        ;TRUE    
31  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.ide::Security                                           ;TRUE        ;TRUE    
32  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.ide::Catalog                                            ;TRUE        ;TRUE    
33  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.ide::Traces                                             ;TRUE        ;TRUE    
34  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.formLogin::ProfileOwner                                 ;TRUE        ;TRUE    
35  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.dt.base::RunAPI                                         ;TRUE        ;TRUE    
36  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.debugger::Debugger                                      ;TRUE        ;TRUE    
37  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::SQLCCView                                        ;TRUE        ;TRUE    
38  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::SQLCCAdmin                                       ;TRUE        ;TRUE    
39  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::HTTPDestView                                     ;TRUE        ;TRUE    
40  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::HTTPDestAdmin                                    ;TRUE        ;TRUE    
41  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::RuntimeConfView                                  ;TRUE        ;TRUE    
42  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::RuntimeConfAdmin                                 ;TRUE        ;TRUE    
43  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::TrustStoreView                                   ;TRUE        ;TRUE    
44  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::TrustStoreAdmin                                  ;TRUE        ;TRUE    
45  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::SAMLView                                         ;TRUE        ;TRUE    
46  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::SAMLAdmin                                        ;TRUE        ;TRUE    
47  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::JobView                                          ;TRUE        ;TRUE    
48  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::JobAdmin                                         ;TRUE        ;TRUE    
49  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::SMTPDestView                                     ;TRUE        ;TRUE    
50  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::SMTPDestAdmin                                    ;TRUE        ;TRUE    
51  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::JobSchedulerAdmin                                ;TRUE        ;TRUE    
52  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::NetDestView                                      ;TRUE        ;TRUE    
53  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::NetDestAdmin                                     ;TRUE        ;TRUE    
54  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::WebDispatcherHTTPTracingView                     ;TRUE        ;TRUE    
55  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.xs.admin::WebDispatcherHTTPTracingAdmin                    ;TRUE        ;TRUE    
56  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.uis.privileges::AppSiteAccess:All                          ;TRUE        ;TRUE    
57  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.uis.privileges::CatalogAccess:All                          ;TRUE        ;TRUE    
58  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.uis.privileges::WidgetAccess:All                           ;TRUE        ;TRUE    
59  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.uis.content.hanahome::WidgetAccess:HANAToolsCatalog        ;TRUE        ;TRUE    
60  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.uis.content.hanahome::WidgetAccess:HANADocumentationCatalog;TRUE        ;TRUE    
61  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.uis.content.hanahome::AppSiteAccess:HANAHomePage           ;TRUE        ;TRUE    
62  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide.editor.plugin.securitytester::Execution                ;TRUE        ;TRUE    
63  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide::LandingPage                                           ;TRUE        ;TRUE    
64  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide::Editor                                                ;TRUE        ;TRUE    
65  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide::Security                                              ;TRUE        ;TRUE    
66  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide::Catalog                                               ;TRUE        ;TRUE    
67  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide::Trace                                                 ;TRUE        ;TRUE    
68  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.ide::EclipseWebBridge                                      ;TRUE        ;TRUE    
69  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.backup::Operator                                           ;TRUE        ;TRUE    
70  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.backup::Admin                                              ;TRUE        ;TRUE    
71  ;?                              ;_SYS_REPO                                                                         ;USER        ;SYS                               ;APPLICATIONPRIVILEGE;?                                                                                 ;?                                                                               ;?          ;sap.hana.backup::WidgetAccess:backup                                ;TRUE        ;TRUE    
72  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;USER ADMIN                                                          ;TRUE        ;TRUE    
73  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;ROLE ADMIN                                                          ;TRUE        ;TRUE    
74  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;DATA ADMIN                                                          ;TRUE        ;TRUE    
75  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CREATE SCHEMA                                                       ;TRUE        ;TRUE    
76  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CREATE REMOTE SOURCE                                                ;TRUE        ;TRUE    
77  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;ADAPTER ADMIN                                                       ;TRUE        ;TRUE    
78  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;AGENT ADMIN                                                         ;TRUE        ;TRUE    
79  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;SSL ADMIN                                                           ;TRUE        ;TRUE    
80  ;?                              ;SYSTEM                                                                            ;USER        ;SYS                               ;SYSTEMPRIVILEGE     ;?                                                                                 ;?                                                                               ;?          ;CERTIFICATE ADMIN                                                   ;TRUE        ;TRUE    
