   ;GRANTEE_SCHEMA_NAME;GRANTEE                                                                           ;GRANTEE_TYPE;ROLE_SCHEMA_NAME               ;ROLE_NAME                                                     ;GRANTOR                           ;IS_GRANTABLE;IS_GRANTED_BY_LDAP
1  ;?                  ;BASISADM                                                                          ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
2  ;?                  ;_SYS_TABLE_REPLICAS                                                               ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
3  ;?                  ;BA1_HDI_FR_APIC_GEN_9983#DI                                                       ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
4  ;?                  ;FDT_CP_TEST_SMC_DEPLOYMENT_8918#DI                                                ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
5  ;?                  ;DBACOCKPIT                                                                        ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
6  ;?                  ;_SYS_EPM                                                                          ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
7  ;?                  ;FDT_TEST_CONTAINER_GEN_7454#OO                                                    ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
8  ;?                  ;BA1_HDI_FR_APIC_GEN_9983#OO                                                       ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
9  ;?                  ;_SYS_WORKLOAD_REPLAY                                                              ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
10 ;?                  ;FDT_CP_TEST_SMC_DATA_0238#OO                                                      ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
11 ;?                  ;BOROCHOVG                                                                         ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
12 ;?                  ;_SYS_STATISTICS                                                                   ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
13 ;?                  ;SAPS4H_RT_7937#DI                                                                 ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
14 ;?                  ;_SYS_AFL                                                                          ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
15 ;?                  ;SAPHANADB                                                                         ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
16 ;?                  ;FDT_TEST_CONTAINER_GEN_2_0626#OO                                                  ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
17 ;?                  ;BA1_HDI_FR_RTC_GEN_2470#DI                                                        ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
18 ;?                  ;FDT_CP_TEST_SMC_VIEWS_5622#OO                                                     ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
19 ;?                  ;FDT_TEST_DATA_CONT_GEN_8437#OO                                                    ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
20 ;?                  ;_SYS_SQL_ANALYZER                                                                 ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
21 ;?                  ;_SYS_DATA_ANONYMIZATION                                                           ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
22 ;?                  ;SAPESH_RT_GEN_6188#OO                                                             ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
23 ;?                  ;FDT_CP_TEST_SMC_DATA_0238#DI                                                      ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
24 ;?                  ;SAPTMF_RT_6642#DI                                                                 ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
25 ;?                  ;FDT_CP_TEST_SMC_DEPLOYMENT_8918#OO                                                ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
26 ;?                  ;_SYS_REPO                                                                         ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
27 ;?                  ;XSSQLCC_AUTO_USER_5E2492DBCDEDAE8BF85A0EA2741D2302882088A51A3ED5634ABEB402AE579A39;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
28 ;?                  ;SAPS4H_RT_GEN_3134#OO                                                             ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
29 ;?                  ;sap.hana.ide.roles::Developer                                                     ;ROLE        ;?                              ;PUBLIC                                                        ;_SYS_REPO                         ;FALSE       ;FALSE             
30 ;?                  ;SYSTEM                                                                            ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
31 ;?                  ;XSSQLCC_AUTO_USER_D5D3B0C4F06A79377BE0D4198763EC5EDEBC14E80D1BB1BBABA9D3B5F3C4AD1A;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
32 ;?                  ;SAPTMF_RT_6642#OO                                                                 ;USER        ;?                              ;PUBLIC                                                        ;SYS                               ;FALSE       ;FALSE             
